"GEOID","Total","Hispanic","pct_Hispanic"
"040130718016",747,747,1
"040130718021",1064,1022,0.960526315789474
"040130718022",874,874,1
"040130718023",708,694,0.980225988700565
"040130718024",808,780,0.965346534653465
"040130719031",684,411,0.600877192982456
"040130719032",1284,868,0.67601246105919
"040130719033",1386,1210,0.873015873015873
"040130719034",600,393,0.655
"040130719035",679,311,0.458026509572901
"040130719036",764,615,0.804973821989529
"040130719037",1333,796,0.59714928732183
"040130719061",2148,1356,0.631284916201117
"040130719062",2151,1306,0.607159460715946
"040130719063",1214,900,0.741350906095552
"040130719091",627,545,0.869218500797448
"040130719092",1248,663,0.53125
"040130719093",867,736,0.848904267589389
"040130719094",1253,858,0.684756584197925
"040130719101",1207,1096,0.908036454018227
"040130719102",545,31,0.0568807339449541
"040130719103",1320,864,0.654545454545455
"040130719104",2120,904,0.426415094339623
"040130719105",1829,1168,0.638600328048114
"040130719111",3407,2405,0.705899618432639
"040130719121",1052,190,0.180608365019011
"040130719122",447,210,0.469798657718121
"040130719123",1647,1015,0.616272009714633
"040130719131",2001,1024,0.511744127936032
"040130719132",2095,991,0.473031026252983
"040130719133",883,602,0.681766704416761
"040130719141",918,367,0.399782135076253
"040130719142",827,344,0.41596130592503
"040130719143",1501,851,0.566955363091272
"040130719151",602,466,0.774086378737541
"040130719152",1170,652,0.557264957264957
"040130719153",1690,900,0.532544378698225
"040130820021",2241,969,0.43239625167336
"040130820022",2171,1198,0.551819438046983
"040130820023",2154,984,0.456824512534819
"040130820071",2321,677,0.291684618698837
"040130820072",1657,332,0.20036210018105
"040130820081",1899,768,0.404423380726698
"040130820082",2006,211,0.10518444666002
"040130820083",1460,385,0.263698630136986
"040130820091",2538,775,0.305358550039401
"040130820092",2905,581,0.2
"040130820101",1990,509,0.255778894472362
"040130820102",2318,615,0.265314926660915
"040130820121",3189,1373,0.430542489808717
"040130820122",3230,1564,0.484210526315789
"040130820161",2726,1144,0.419662509170946
"040130820171",3196,2029,0.634856070087609
"040130820172",1699,830,0.488522660388464
"040130820181",3038,951,0.313034891375905
"040130820182",2642,553,0.209311127933384
"040130820191",1335,838,0.627715355805243
"040130820192",1401,995,0.710206995003569
"040130820201",2235,1607,0.719015659955257
"040130820202",1741,1175,0.674899483055715
"040130820211",1910,1045,0.547120418848168
"040130820221",3041,1444,0.474843801381125
"040130820222",1678,1198,0.713945172824791
"040130820231",1600,697,0.435625
"040130820232",1992,1459,0.732429718875502
"040130820233",1508,737,0.488726790450928
"040130820241",1399,673,0.481057898498928
"040130820242",3156,1565,0.495880861850444
"040130820251",2576,1442,0.559782608695652
"040130820261",3013,1744,0.578825091271158
